date,flow
1946-05-25,121
1947-05-02,1170
1948-05-10,1950
1949-04-27,857
1950-05-24,5420
1951-04-21,1040
1952-04-17,3580
1953-07-03,766
1954-07-06,185
1955-07-19,143
1956-06-22,237
1957-04-20,93
1958-04-28,216
1960-04-29,589
1961-03-19,10
1962-08-19,914
1963-06-15,357
1964-05-11,700
1965-05-02,837
1966-04-03,2470
1967-05-07,472
1968-07-04,167
1969-04-22,4670
1969-12-10,417
1971-07-09,145
1972-04-07,708
1972-11-18,80
1974-07-04,128
1975-07-13,1540
1976-03-26,340
1977-03-18,12
1978-04-10,1180
1979-05-03,2340
1980-04-16,293
1981-04-06,98
1982-04-18,960
1983-04-06,853
1984-04-16,1100
1985-04-06,179
1986-05-19,960
1987-04-11,1260
1987-11-18,257
1989-04-18,866
1990-03-16,5
1991-07-12,120
1992-09-11,35
1993-08-19,1160
1994-04-26,1350
1995-05-22,1660
1996-04-30,2050
1997-04-30,4130
1998-04-15,1240
1999-05-31,1910
2000-03-20,730
2001-04-23,2170
2001-10-10,271
2003-06-28,581
2004-06-05,980
2005-07-10,1250
2006-04-24,383
2007-05-15,1370
2008-08-15,231
2009-04-24,9620
2010-04-07,4750
