No,TP,CHLa,Limitation
1,2.91,0.3,P
2,4.19,3.3,P
3,4.54,1.05,P
4,4.54,2.19,P
5,5.22,1.32,P
6,5.44,3.1,P
7,7.66,0.7,P
8,7.82,2.33,P
9,8.14,1.86,P
10,8.48,2.43,P
11,9,1.79,P
12,9.76,2.86,P
13,10.37,1.98,P
14,10.58,1.37,P
15,10.58,2.75,P
16,10.8,3.04,P
17,10.8,3.51,P
18,12.18,3.81,P
19,12.69,1.98,P
20,14.03,3.23,P
21,14.32,2.11,P
22,15.52,2.38,P
23,15.52,8.29,P
24,15.84,9.76,P
25,17.52,5.85,P
26,19.37,4.49,P
27,19.37,5.18,P
28,19.77,5.73,P
29,21,5.07,P
30,21.43,4.13,P
31,22.31,4.87,P
32,23.23,11.49,P
33,24.18,2.75,P
34,25.18,15.94,P
35,27.29,3.97,P
36,27.85,15.94,P
37,28.42,20.37,P
38,29,4.87,P
39,29,12.47,P
40,34.77,3.51,P
41,36.93,23.99,P
42,38.45,6.1,P
43,38.45,8.29,P
44,40.85,10.37,P
45,43.4,23.99,P
46,43.4,25,P
47,44.28,9.56,P
48,48.98,26.04,P
49,51,11.26,P
50,52.03,25,P
51,52.03,29.44,P
52,58.73,20.79,P
53,64.95,25.51,P
54,64.95,23.99,P
55,66.28,8.12,P
56,66.28,37.63,P
57,67.63,21.66,P
58,71.84,12.73,P
59,73.31,15.3,P
60,77.88,6.22,P
61,77.88,11.49,P
62,77.88,16.61,P
63,77.88,27.13,P
64,77.88,27.13,P
65,95.28,25.51,P
66,105.38,28.84,P
67,107.53,11.97,P
68,116.56,14.1,P
69,118.93,20.79,P
70,131.55,49.08,P
71,136.96,73.89,P
72,160.94,75.41,P
73,236.06,18.02,P
74,245.78,33.28,P
75,255.89,49.08,P
76,283.03,23.99,P
77,93.37,3.23,I
78,325.94,5.5,I
79,174.45,6.35,I
80,174.45,8.12,I
81,167.56,8.12,I
82,157.72,8.81,I
83,91.51,7.03,N
84,142.6,9.56,N
85,375.35,16.27,N
86,142.6,27.69,N
87,160.94,30.67,N
88,44.28,13.53,N
89,58.73,14.1,N
90,63.66,18.39,N
91,375.35,64.03,N
92,760.17,87.02,N
