Year,May
1975,11.68824885
1976,11.43009217
1977,12.07967742
1978,10.53051075
1979,9.89968318
1980,9.432562212
1981,11.65952499
1982,10.98797235
1983,12.78271889
1984,9.944936636
1985,10.78301843
1986,13.64794931
1987,9.798294931
1988,12.99099078
1989,11.98087203
1990,13.62511828
1991,8.890092166
1992,12.20599078
1993,14.99032258
1994,12.11758242
1995,12.03571429
1996,9.915863169
1997,11.96744868
1998,14.57903226
1999,13.0016129
2000,16.57951613
2001,13.49259719
2002,13.61658986
2003,13.69305211
2004,12.52465438
2005,13.79124424
2006,11.46612903
2007,15.30591398
2008,14.78064516
2009,15.94763825
2010,12.44351294

